alimid,alidate,alitype,alidecription
869332455990001,2020/4/7,套现,套现风险（套现风险极高）
869690004110003,2020/4/7,色情,色情风险（关闭支付权限）
869301010010046,2020/4/7,套现,套现风险（套现风险极高）
869651003010017,2020/4/7,赌博,赌博风险（关闭支付权限）
869161010010021,2020/4/7,欺诈,欺诈风险（关闭支付权限）
869508105030001,2020/4/7,套现,套现风险（套现风险极高）
869348252110001,2020/4/6,欺诈,欺诈风险（关闭支付权限）
869301001030007,2020/4/6,套现,套现风险（套现风险极高）
869508104220001,2020/4/6,套现,套现风险（套现风险极高）
869290001030075,2020/4/6,套现,套现风险（套现风险极高）
869332001030007,2020/4/6,欺诈,欺诈风险（关闭支付权限）
869651005010001,2020/4/5,套现,套现风险（套现风险极高）
869302008030001,2020/4/5,套现,套现风险（套现风险极高）
869671007050001,2020/4/4,赌博,赌博风险（关闭支付权限）
869318010010008,2020/4/4,欺诈,欺诈风险（关闭支付权限）
869651001040006,2020/4/3,赌博,赌博风险（关闭支付权限）
869191010010003,2020/4/3,欺诈,欺诈风险（关闭支付权限）
869290010070005,2020/4/3,套现,套现风险（套现风险极高）
869290004190019,2020/4/3,套现,套现风险（套现风险极高）
869521004050005,2020/4/2,赌博,赌博风险（关闭支付权限）
869290004220042,2020/4/2,套现,套现风险（套现风险极高）
869290575380005,2020/4/2,套现,套现风险（套现风险极高）
869303004050001,2020/4/2,套现,套现风险（套现风险极高）
869304010010016,2020/4/2,套现,套现风险（套现风险极高）
869791004010002,2020/4/1,套现,套现风险（套现风险极高）
869301002020006,2020/4/1,套现,套现风险（套现风险极高）
869332754990001,2020/3/31,套现,套现风险（套现风险极高）
869393009050001,2020/3/31,套现,套现风险（套现风险极高）
869290001040009,2020/3/30,套现,套现风险（套现风险极高）
869501210010001,2020/3/30,套现,套现风险（套现风险极高）
869302002040001,2020/3/30,套现,套现风险（套现风险极高）
869332775310001,2020/3/30,套现,套现风险（套现风险极高）
869304010010012,2020/3/30,套现,套现风险（套现风险极高）
869191910990041,2020/3/30,套现,套现风险（套现风险极高）
869651003010007,2020/3/30,赌博,赌博风险（关闭支付权限）
869527004010001,2020/3/30,套现,套现风险（套现风险极高）
869305002040001,2020/3/30,欺诈,欺诈风险（关闭支付权限）
869451704220001,2020/3/30,套现,套现风险（套现风险极高）
869521010040002,2020/3/29,套现,套现风险（套现风险极高）
869391010010025,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393010070002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869391010040002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070007,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869290001030038,2020/3/15,赌博,赌博风险（关闭支付权限）
869291604220003,2020/3/24,赌博,赌博风险（关闭支付权限）
869394010010014,2020/3/29,赌博,赌博风险（关闭支付权限）
869397010070003,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010010041,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393004220023,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010070005,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869397010990002,2020/3/29,欺诈,欺诈风险（关闭支付权限）
869393010010031,2020/3/29,赌博,赌博风险（关闭支付权限）
869103301030003,2020/3/28,套现,套现风险（套现风险极高）
869261010010006,2020/3/28,套现,套现风险（套现风险极高）
869261010050001,2020/3/27,赌博,赌博风险（关闭支付权限）
869302010050004,2020/3/27,套现,套现风险（套现风险极高）
869397010010047,2020/3/27,赌博,赌博风险（关闭支付权限）
869397010070001,2020/3/27,欺诈,欺诈风险（关闭支付权限）
869397010010048,2020/3/29,赌博,赌博风险（关闭支付权限）
869663004200001,2020/3/26,套现,套现风险（套现风险极高）
869100004220055,2020/3/26,套现,套现风险（套现风险极高）
869496001030005,2020/3/25,套现,套现风险（套现风险极高，且有投诉）
869206110050004,2020/3/25,套现,套现风险（套现风险极高）
869100005030001,2020/3/24,套现,套现风险（套现风险极高）
869506004010001,2020/3/23,套现,套现风险（套现风险极高）
869302010050001,2020/3/23,套现,套现风险（套现风险极高）
