,merchantid,alitype,alidecription,wemname,wedate,wemethod,wetype,wedescription
24,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
25,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
31,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
32,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
46,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
47,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
58,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
59,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
116,869290005020006,套现,套现风险（套现风险极高）,,,,,
140,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
141,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
142,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
187,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
188,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
271,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
272,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
341,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
342,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
412,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
413,869100004010007,赌博,赌博风险（关闭支付权限）,北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
414,869290005020006,套现,套现风险（套现风险极高）,,,,,
704,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
705,869395002020001,欺诈,欺诈风险（关闭支付权限）,,,,,
709,869451704220001,套现,套现风险（套现风险极高）,,,,,
710,869451704220001,套现,套现风险（套现风险极高）,,,,,
717,869451704220001,套现,套现风险（套现风险极高）,,,,,
718,869451704220001,套现,套现风险（套现风险极高）,,,,,
788,869261010050001,赌博,赌博风险（关闭支付权限）,,,,,
836,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
837,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
847,869451704220001,套现,套现风险（套现风险极高）,,,,,
848,869451704220001,套现,套现风险（套现风险极高）,,,,,
859,869513006010001,,,南阳市个体户仝兆明衣服服饰,2020/2/14 10:03,交易拦截,拦截,涉嫌实时交易异常
860,869513006010001,,,南阳市个体户仝兆明衣服服饰,2020/2/14 10:03,交易拦截,拦截,涉嫌实时交易异常
864,869513006010001,,,南阳市个体户仝兆明衣服服饰,2020/2/14 10:03,交易拦截,拦截,涉嫌实时交易异常
865,869513006010001,,,南阳市个体户仝兆明衣服服饰,2020/2/14 10:03,交易拦截,拦截,涉嫌实时交易异常
1166,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
1176,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
1179,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
1205,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
1237,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
1267,869391004220025,套现,套现风险（套现风险极高）,,,,,
1268,869391004220025,套现,套现风险（套现风险极高）,,,,,
1280,869665001030002,套现,套现风险（套现风险极高）,,,,,
1394,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
1395,869498001030001,欺诈,欺诈风险（关闭支付权限）,,,,,
1831,869397006050001,套现,套现风险（套现风险极高）,,,,,
1832,869397006050001,套现,套现风险（套现风险极高）,,,,,
2043,869451704220001,套现,套现风险（套现风险极高）,,,,,
2044,869451704220001,套现,套现风险（套现风险极高）,,,,,
2073,869451704220001,套现,套现风险（套现风险极高）,,,,,
2074,869451704220001,套现,套现风险（套现风险极高）,,,,,
2088,869451704220001,套现,套现风险（套现风险极高）,,,,,
2089,869451704220001,套现,套现风险（套现风险极高）,,,,,
2120,869451704220001,套现,套现风险（套现风险极高）,,,,,
2121,869451704220001,套现,套现风险（套现风险极高）,,,,,
2144,869451704220001,套现,套现风险（套现风险极高）,,,,,
2145,869451704220001,套现,套现风险（套现风险极高）,,,,,
2333,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2334,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2367,869397006050001,套现,套现风险（套现风险极高）,,,,,
2368,869397006050001,套现,套现风险（套现风险极高）,,,,,
2369,869397006050001,套现,套现风险（套现风险极高）,,,,,
2397,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2398,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2422,869290575380005,套现,套现风险（套现风险极高）,,,,,
2425,869290575380005,套现,套现风险（套现风险极高）,,,,,
2444,869304010010012,套现,套现风险（套现风险极高）,,,,,
2445,869304010010012,套现,套现风险（套现风险极高）,,,,,
2455,869521010010020,套现,套现风险（套现风险极高）,,,,,
2456,869521010010020,套现,套现风险（套现风险极高）,,,,,
2467,869451704220001,套现,套现风险（套现风险极高）,,,,,
2468,869451704220001,套现,套现风险（套现风险极高）,,,,,
2469,869397006050001,套现,套现风险（套现风险极高）,,,,,
2495,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2589,869451704220001,套现,套现风险（套现风险极高）,,,,,
2600,869304010010012,套现,套现风险（套现风险极高）,,,,,
2601,869304010010012,套现,套现风险（套现风险极高）,,,,,
2603,869513010010003,套现,套现风险（套现风险极高）,,,,,
2604,869513010010003,套现,套现风险（套现风险极高）,,,,,
2627,869451704220001,套现,套现风险（套现风险极高）,,,,,
2628,869451704220001,套现,套现风险（套现风险极高）,,,,,
2654,869304010010012,套现,套现风险（套现风险极高）,,,,,
2655,869304010010012,套现,套现风险（套现风险极高）,,,,,
2700,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2701,869521004190008,欺诈,欺诈风险（关闭支付权限）,,,,,
2710,869527004010001,套现,套现风险（套现风险极高）,,,,,
2711,869527004010001,套现,套现风险（套现风险极高）,,,,,
2736,869521010010020,套现,套现风险（套现风险极高）,,,,,
2739,869451704220001,套现,套现风险（套现风险极高）,,,,,
2740,869451704220001,套现,套现风险（套现风险极高）,,,,,
2761,869466001030002,套现,套现风险（套现风险极高）,,,,,
2762,869466001030002,套现,套现风险（套现风险极高）,,,,,
2783,869304010010012,套现,套现风险（套现风险极高）,,,,,
2784,869304010010012,套现,套现风险（套现风险极高）,,,,,
2806,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
2807,869301004020001,,,南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
2822,869397006050001,套现,套现风险（套现风险极高）,,,,,
2823,869397006050001,套现,套现风险（套现风险极高）,,,,,
2843,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
2844,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
2847,869397006050001,套现,套现风险（套现风险极高）,,,,,
2848,869397006050001,套现,套现风险（套现风险极高）,,,,,
2868,869451704220001,套现,套现风险（套现风险极高）,,,,,
2869,869451704220001,套现,套现风险（套现风险极高）,,,,,
2904,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2917,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2921,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2941,869535006020002,套现,套现风险（套现风险极高）,,,,,
2942,869535006020002,套现,套现风险（套现风险极高）,,,,,
2948,869304010010012,套现,套现风险（套现风险极高）,,,,,
2949,869304010010012,套现,套现风险（套现风险极高）,,,,,
2950,869527004010001,套现,套现风险（套现风险极高）,,,,,
2965,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2970,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2971,869651001030009,赌博,赌博风险（关闭支付权限）,,,,,
2998,869397006050001,套现,套现风险（套现风险极高）,,,,,
2999,869397006050001,套现,套现风险（套现风险极高）,,,,,
3002,869451704220001,套现,套现风险（套现风险极高）,,,,,
3048,869304010010012,套现,套现风险（套现风险极高）,,,,,
3049,869304010010012,套现,套现风险（套现风险极高）,,,,,
3103,869397006050001,套现,套现风险（套现风险极高）,,,,,
3141,869304010010012,套现,套现风险（套现风险极高）,,,,,
3142,869304010010012,套现,套现风险（套现风险极高）,,,,,
3182,869527004010001,套现,套现风险（套现风险极高）,,,,,
3183,869527004010001,套现,套现风险（套现风险极高）,,,,,
3204,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3205,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3214,869476110010001,套现,套现风险（套现风险极高）,菏泽市村头超市零售,2020/4/7 12:59,交易拦截,拦截,涉嫌实时交易异常
3266,869261010010006,套现,套现风险（套现风险极高）,,,,,
3290,869261010010006,套现,套现风险（套现风险极高）,,,,,
3291,869261010010006,套现,套现风险（套现风险极高）,,,,,
3292,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3293,869110004190003,,,天津城区一城一梦青年之家旅馆,2020/3/24 11:07,交易拦截,拦截,涉嫌实时交易异常
3307,869476110010001,套现,套现风险（套现风险极高）,菏泽市村头超市零售,2020/4/7 12:59,交易拦截,拦截,涉嫌实时交易异常
3308,869476110010001,套现,套现风险（套现风险极高）,菏泽市村头超市零售,2020/4/7 12:59,交易拦截,拦截,涉嫌实时交易异常
3312,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
3313,869332001030007,欺诈,欺诈风险（关闭支付权限）,,,,,
3319,869261010010006,套现,套现风险（套现风险极高）,,,,,
3331,869304010010012,套现,套现风险（套现风险极高）,,,,,
3332,869304010010012,套现,套现风险（套现风险极高）,,,,,
3349,869451704220001,套现,套现风险（套现风险极高）,,,,,
3368,869527004190001,套现,套现风险（套现风险极高）,,,,,
3383,869521010010020,套现,套现风险（套现风险极高）,,,,,
3384,869521010010020,套现,套现风险（套现风险极高）,,,,,
3389,869451704220001,套现,套现风险（套现风险极高）,,,,,
3390,869451704220001,套现,套现风险（套现风险极高）,,,,,
3405,869451704220001,套现,套现风险（套现风险极高）,,,,,
3409,869304004220011,套现,套现风险（套现风险极高）,,,,,
3411,869304010010012,套现,套现风险（套现风险极高）,,,,,
3436,869304004220011,套现,套现风险（套现风险极高）,,,,,
3437,869304004220011,套现,套现风险（套现风险极高）,,,,,
3447,869100001030045,套现,套现风险（套现风险极高）,,,,,
