wemname,wedate,wemethod,wetype,wedescription
北京城区开心杂货店,2020/3/4 18:24,交易拦截,拦截,涉嫌实时交易异常
北京城区麦乐迪KTV,2020/2/24 12:04,交易拦截,拦截,涉嫌实时交易异常
北京城区润洁美容,2020/4/6 19:19,交易拦截,拦截,涉嫌实时交易异常
滨州市个体户乔晓城零售,2020/3/5 11:11,交易拦截,拦截,涉嫌实时交易异常
昌吉回族自治州个体户聂程驾校,2020/4/6 15:18,交易拦截,拦截,涉嫌实时交易异常
成都市个体户陈阳志新鲜水果,2020/4/3 21:21,交易拦截,拦截,涉嫌实时交易异常
成都市果农新鲜水果,2020/4/6 1:01,关闭支付权限,处理,涉嫌交易异常
成都市开心烧烤路边摊,2020/4/3 15:54,关闭支付权限,处理,涉嫌交易异常
成都市十元商品店,2020/4/8 11:18,交易拦截,拦截,涉嫌实时交易异常
成都市哇哈哈水果新鲜水果,2020/4/7 17:42,交易拦截,拦截,涉嫌实时交易异常
福州市海上丝绸之路零售,2020/4/3 11:08,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
菏泽市村头超市零售,2020/4/7 12:59,交易拦截,拦截,涉嫌实时交易异常
黄冈市逅海海鲜店海鲜,2020/3/2 11:31,交易拦截,拦截,涉嫌实时交易异常
黄石市个体户石志斌便利店,2020/3/18 22:30,交易拦截,拦截,涉嫌实时交易异常
济南市秋子肌肤美容,2020/4/1 17:04,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
荆州市个体户熊纤纤便利店,2020/3/25 22:04,交易拦截,拦截,涉嫌实时交易异常
昆都仑区铭晨生肉经销店,2020/4/1 22:56,交易拦截,拦截,涉嫌实时交易异常
连云港市个体户张海翔甜品店,2020/3/25 12:49,交易拦截,拦截,涉嫌实时交易异常
满洲里市车驰汽车钣喷维修部,2020/3/24 10:47,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
绵阳市个体户范文明电玩,2020/3/12 0:50,关闭支付权限,处理,涉嫌交易异常
南充市麦嘉基快餐,2020/3/24 11:45,交易拦截,拦截,涉嫌实时交易异常
南京市艺梵造型美发,2020/4/4 13:06,交易拦截,拦截,涉嫌实时交易异常
南平市泰洁干洗便利店,2020/4/2 17:06,关闭支付权限,处理,涉嫌交易异常
南阳市个体户李华推拿理疗,2020/2/23 9:00,交易拦截,拦截,涉嫌实时交易异常
南阳市个体户仝兆明衣服服饰,2020/2/14 10:03,交易拦截,拦截,涉嫌实时交易异常
宁波市北仑区新碶互邦五金店,2020/3/19 9:55,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
宁波市颖嫔奶茶,2020/3/31 23:27,调整信用卡支付额度(单笔500元,处理,涉嫌信用卡套现
宁德市个体户龚有实便利店,2020/3/11 11:52,交易拦截,拦截,涉嫌实时交易异常
平顶山市王振坤回收,2020/4/6 20:36,交易拦截,拦截,涉嫌实时交易异常
濮阳市云米全屋互联网家电零售,2020/3/4 15:16,交易拦截,拦截,涉嫌实时交易异常
