merchantid,merchantname
869651003010017,成都市哇哈哈水果新鲜水果
869100004010007,北京城区润洁美容
869451005050001,济南市叁号院居酒屋酒吧
869261010050001,哈尔滨市小可爱电子产品
869661510050001,广元市新新电子产品
869533004220011,黄冈市彤彤便利店
869803003010001,商洛市个体户陈立立新鲜水果
869456005020002,烟台市迪丽斯西餐厅咖啡
869451704220001,济南市南辛庄西路99号便利店
869100001030045,北京城区个体户张孝伟快餐
869103301030003,北京城区熊家快餐
869318010010008,宿迁市个体户于朋杂货店
869535006020002,孝感市个体户李超雄鞋品
869651001030009,成都市汇金源食府快餐
869110001030014,天津哈克都餐饮
869290352110011,上海高尤建材销售中心
869332775310001,宁波众捷汽车服务有限公司
869397004060002,泉州市个体户尹正祥汽车美容
869521010010020,武汉市点点关爱零售
869290004220042,上海城区飞牛精品超市便利店
869290557120007,上海市金山区晨换家居经营部
869471009070002,聊城市卓越技能培训
869332455990001,余姚吉云机械
869290857120003,上海宜山路镇翰诺威建材经营部
869534148120001,小米黄冈万达广场专卖店
869397003010002,泉州市百果水果超市新鲜水果
869690004190007,重庆城区喜来大饭店旅馆
869102602020002,北京个体户熊左金火锅
869290465130016,上海万街商业经营管理有限公司
869498009030001,新乡市个体户周贺松外语培训
869242003040001,吉林市地利生鲜海鲜水产
869533005050001,黄冈市老乡小馆酒吧
869527004010001,随州市全芳美容
869395002020001,三明市牛一桌宁化店火锅
869261010010019,哈尔滨市新天地超市
869301010010046,南京市好又多便利店
869521004190006,武汉市纽宾凯宴会中心旅馆
869399010010016,漳州市天娱电脑店零售
869461004190002,济宁市新街坊酒店旅馆
869791004220026,西安市良友便利店
869290001030033,上海城区沙县小吃快餐
869290789110001,上海迷你蘑菇克劳德建筑设计中心
869451010010018,济南市南辛庄西路彩票站零售
869100002050002,北京城区平价活海鲜
869113604190001,天津城区水沐阳光美宿旅馆
869311002050003,盐城市希尔顿海鲜
869332789120001,宁波青水设计
869332456510003,余姚金秋百货
869290575380005,上海市金山区车洋汽车装潢店
869302010050001,无锡市胜宏电脑电子产品
869508105030001,周口市川汇区Mousse甜品店
869665001030002,乐山市卡大碗快餐
869290001030038,上海城区个体户徐加勇快餐
869290004190019,上海城区宏轩连锁酒店旅馆
